url,title,rating,boxOffice,criticsScore,audienceScore,Action,Adventure,Animation,Anime,Biography,Comedy,Crime,Documentary,Drama,Fantasy,LGBTQ+,History,Holiday,Horror,Kids & Family,Music,Musical,Mystery & Thriller,Romance,Sci-Fi,Sports,Stand-Up,War,Western,Entertainment,Faith & Spirituality,Game Show,Health & Wellness,House & Garden,Nature,News,Reality,Short,Soap,Special Interest,Talk Show,Travel,Variety
https://www.rottentomatoes.com/m/the_long_walk_2025,The Long Walk,R,34800000,0.93,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_roses,The Roses,R,15300000,0.93,0.95,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/afterburn_2025,Afterburn,R,0,0.79,0.78,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/coyotes_2025,Coyotes,R,0,0.93,0.83,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_hand_that_rocks_the_cradle_2025,The Hand That Rocks The Cradle,R,0,0.45,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/a_house_of_dynamite,A HOUSE OF DYNAMITE,R,0,0.95,0.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/good_boy_2025,Good Boy,PG-13,6100000,0.95,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_perfect_neighbor_2025,The Perfect Neighbor,R,0,0.86,0.79,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/weapons,Weapons,R,151500000,0.92,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_substance,The Substance,R,17600000,0.84,0.73,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_lost_bus,The Lost Bus,R,0,0.91,0.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/bring_her_back,Bring Her Back,R,0,0.93,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/i_know_what_you_did_last_summer_2025,I Know What You Did Last Summer,R,31400000,0.81,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/sinners_2025,Sinners,R,278500000,0.89,0.79,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_conjuring_last_rites,The Conjuring: Last Rites,R,175500000,0.92,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/28_years_later,28 Years Later,R,70400000,0.87,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/him_2025_2,HIM,R,24900000,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_twits,The Twits,PG,0,0.52,0.58,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/kpop_demon_hunters,KPop Demon Hunters,PG,0,0.77,0.97,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/dont_say_a_word,Don't Say a Word,R,55000000,0.55,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/superman_2025,Superman,PG-13,354200000,0.91,0.91,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/together_2025,Together,R,21300000,0.92,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/caught_stealing,Caught Stealing,R,18900000,0.95,0.86,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/oddity,Oddity,R,1200000,0.94,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/play_dirty_2025_2,Play Dirty,R,0,0.8,0.68,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/vicious_2025,Vicious,R,0,0.94,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_fantastic_four_first_steps,The Fantastic Four: First Steps,PG-13,274300000,0.51,0.91,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_naked_gun_2025,The Naked Gun,PG-13,52600000,0.85,0.87,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_strangers_chapter_2,The Strangers: Chapter 2,R,14600000,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/companion_2025,Companion,R,20800000,0.95,0.73,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/steve_2025,Steve,R,0,0.93,0.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/materialists,Materialists,R,0,0.8,0.67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/lurker,Lurker,R,631600,0.84,0.46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/black_bag,Black Bag,R,21500000,0.83,0.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/f1_the_movie,F1 The Movie,PG-13,189500000,0.58,0.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/highest_2_lowest,Highest 2 Lowest,R,0,0.96,0.91,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/a_big_bold_beautiful_journey,A Big Bold Beautiful Journey,R,1700000,0.98,0.82,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/jurassic_world_rebirth,Jurassic World Rebirth,PG-13,339600000,0.73,0.87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/nobody_2,Nobody 2,R,21600000,0.88,0.84,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/friendship_2024,Friendship,R,0,0.72,0.79,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/10011582-tron_legacy,Tron: Legacy,PG,172100000,0.52,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_nightmare_before_christmas,Tim Burton's The Nightmare Before Christmas,PG,6100000,0.13,0.48,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/40_acres,40 Acres,R,767900,0.76,0.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/heretic_2024,Heretic,R,0,0.92,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/postcards_from_the_edge,Postcards From the Edge,R,36900000,0.61,0.7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/longlegs,Longlegs,R,74200000,0.94,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/under_the_shadow,Under the Shadow,PG-13,25800,0.18,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/how_to_train_your_dragon_2025,How to Train Your Dragon,PG,262899999,0.9,0.87,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/gabbys_dollhouse_the_movie,Gabby's Dollhouse: The Movie,G,30000000,0.95,0.79,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/honey_dont,Honey Don't!,R,5800000,0.93,0.89,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/talk_to_me_2023,Talk to Me,R,47600000,0.2,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/trick_r_treat,Trick 'r Treat,R,0,0.93,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_monkey,The Monkey,R,39700000,0.74,0.58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/sinister_2012,Sinister,R,48100000,0.83,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/thunderbolts,Thunderbolts*,PG-13,190300000,0.59,0.82,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/eddington,Eddington,R,0,0.87,0.73,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/strange_harvest,Strange Harvest,R,223200,0.85,0.84,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_life_of_chuck,The Life of Chuck,R,6700000,0.96,0.82,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/it_2017,It,R,327500000,0.88,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/mission_impossible_the_final_reckoning,Mission: Impossible - The Final Reckoning,PG-13,197400000,0.94,0.76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/warfare,Warfare,R,0,0.91,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/hereditary,Hereditary,R,44100000,0.86,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/nosferatu_2024,Nosferatu,R,95400000,0.88,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_toxic_avenger_2023,The Toxic Avenger,R,2100000,0.58,0.78,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_ballad_of_wallis_island,The Ballad of Wallis Island,PG-13,1600000,0.7,0.97,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_thursday_murder_club,The Thursday Murder Club,PG-13,0,0.96,0.78,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/until_dawn_2025,Until Dawn,R,19600000,0.88,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/presence_2024,Presence,R,6600000,0.92,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/parasite_2019,Parasite,R,53700000,0.99,0.9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/ballerina_2025,Ballerina,R,58000000,0.76,0.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/five_nights_at_freddys,Five Nights at Freddy's,PG-13,137300000,0.19,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/john_candy_i_like_me,John Candy: I Like Me,PG-13,0,0.89,0.98,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_baltimorons,The Baltimorons,R,734400,0.82,0.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/freakier_friday,Freakier Friday,PG,94200000,0.91,0.85,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_senior,The Senior,PG,0,0.83,0.98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/final_destination_bloodlines,Final Destination Bloodlines,R,137900000,0.88,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/a_serbian_film,A Serbian Film,NC-17,0,0.09,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/m3gan_20,M3GAN 2.0,PG-13,24100000,0.91,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/past_lives,Past Lives,PG-13,9900000,0.64,0.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/paranorman,ParaNorman,PG,0,0.81,0.86,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/the_hand_that_rocks_the_cradle,The Hand That Rocks the Cradle,R,87500000,0.14,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/1009113-halloween,Halloween,R,47500000,0.56,0.52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/sketch_2024,Sketch,PG,0,0.93,0.9,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/barbarian_2022,Barbarian,R,40800000,0.21,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/interstellar_2014,Interstellar,PG-13,188000000,0.12,0.36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rottentomatoes.com/m/drop_2025,Drop,PG-13,16600000,0.84,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
